"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000283907.1",283528.488510563,8.9809582797252,0.475632474880526,2.28558735124906e-103,4.57277461364399e-99,NA,NA
"ENSG00000252787.2",7635.5090829905,-10.9972568333597,0.628624271682002,1.65878545577437e-75,1.65936603068389e-71,NA,NA
"ENSG00000280800.1",232118.815523242,11.5637677949048,1.10334543151091,1.19293323459978e-64,7.95567174154593e-61,NA,NA
"ENSG00000210184.1",60300.4490268872,-8.30982287980053,0.558232647877181,5.93405956341449e-62,2.96806824213084e-58,NA,NA
"ENSG00000239195.1",23536.8888350852,-8.60950034987029,0.579700251530947,7.17516630073727e-61,2.82496937703184e-57,"SNORD5","692072"
"ENSG00000222365.1",90840.9503157685,-8.66795016757887,0.577268442233462,8.60629370279396e-61,2.82496937703184e-57,"SNORD12B","100113393"
"ENSG00000238317.2",38117.9453472256,-8.80076801131999,0.627567565679078,9.88393344290642e-61,2.82496937703184e-57,"SNORD11","692058"
"ENSG00000263426.2",394.616830660657,3.85457540650211,0.252093853004476,1.90158809318537e-57,4.75563412254496e-54,NA,NA
"ENSG00000201487.1",20301.7111780742,-8.4377108577569,0.620641887636831,2.78686894400951e-55,6.19520966253315e-52,"SNORD45B","26804"
"ENSG00000212378.1",21226.4815522409,-8.20377511760563,0.583532705058976,9.12290128174149e-55,1.82521885943802e-51,NA,NA
"ENSG00000161960.14",125678.487153486,-6.80245306026249,0.499452332403336,9.79764491408e-54,1.78201347087271e-50,"EIF4A1","1973"
"ENSG00000212163.5",12701.9755067262,-8.44685034597106,0.612434003370405,1.37719683083254e-53,2.29613141620556e-50,"SNORD91A","692207"
"ENSG00000212498.1",4756.90396337839,-10.3162611244865,0.726871652609844,2.80850972646981e-53,4.32229646903704e-50,"SNORD86","692201"
"ENSG00000238597.1",2059.03366526044,-9.45459641568485,0.655911239380398,6.43283606853321e-53,9.19298223022457e-50,"SNORD4B","26772"
"ENSG00000209042.1",40779.5638754386,-7.99466304999903,0.571327908158191,2.04377706821947e-52,2.72598985359112e-49,"SNORD12C","26765"
"ENSG00000201785.1",12682.3400322884,-8.6691363216743,0.630294442694363,4.36857863926611e-52,5.46263455223732e-49,"SNORD117","692233"
"ENSG00000145703.15",375.199310016341,2.80483775485683,0.191386485023853,2.725672953164e-51,3.20779639846778e-48,"IQGAP2","10788"
"ENSG00000207241.1",77057.8235303876,-8.38666824427261,0.670837040025873,4.80783150884547e-51,5.09909338667759e-48,"SNORD45A","26805"
"ENSG00000279417.1",136.750923938092,2.31156476180822,0.156236350543268,4.88640162786353e-51,5.09909338667759e-48,NA,NA
"ENSG00000210049.1",18028.4789391745,-7.70223664137724,0.60587796903143,5.09730932841264e-51,5.09909338667759e-48,NA,NA
"ENSG00000238578.1",6604.7270711553,-7.51480129148283,0.560650901667611,5.23412647657837e-50,4.88585047030993e-47,"SNORD4A","26773"
"ENSG00000263764.1",2036.90420959293,-8.05356050781473,0.56688145861503,5.37255512304785e-50,4.88585047030993e-47,"SNORD43","26807"
"ENSG00000200831.1",4126.61253582966,-8.24568593756091,0.636188328715005,1.64137525766534e-49,1.38937250229283e-46,"SNORD36B","26814"
"ENSG00000198830.10",298.624843783341,2.05726289914011,0.142213351411292,1.66666367046674e-49,1.38937250229283e-46,"HMGN2","3151"
"ENSG00000284078.1",2782.82451944075,-8.51909941206001,0.590740508895652,3.54514896532315e-49,2.83711181396881e-46,NA,NA
"ENSG00000283638.2",1626.20197211889,-8.77515568245167,0.694616742282074,4.96149052637547e-49,3.81786696004592e-46,NA,NA
"ENSG00000199753.1",188307.365553252,-8.06107713498875,0.664538647345585,5.26092552029899e-49,3.89834581054155e-46,"SNORD104","692227"
"ENSG00000238862.1",3763.63318494306,-9.94240550183165,0.755193788564164,6.28511492222177e-49,4.49093908031753e-46,"SNORD19B","100113381"
"ENSG00000208797.1",15318.0505372317,-7.77844536101898,0.590410501735769,1.51471967887311e-48,1.04499988328325e-45,"SNORD73A","8944"
"ENSG00000238423.1",6893.68741649145,-7.75012725290304,0.561241287387746,1.750045076325e-48,1.16710506140114e-45,"SNORD42B","26808"
"ENSG00000277108.1",3546.9127688324,-8.63440618289342,0.645007216566167,3.41735409397049e-48,2.20551623735702e-45,NA,NA
"ENSG00000234851.4",178.973732298175,8.51685527366441,0.997057470407062,7.68284124061334e-48,4.80345639690472e-45,NA,NA
"ENSG00000232164.1",201.186948907006,2.2567928156387,0.159643738645026,1.06069003133054e-47,6.43067438085761e-45,"LINC01873","729348"
"ENSG00000125534.9",87.1909401745651,2.66198495313731,0.190074846960238,2.20101884426719e-47,1.29517011815452e-44,"PPDPF","79144"
"ENSG00000210144.1",2792.58174390125,-8.13935392402821,0.665852405696236,2.59801543971041e-47,1.48509985435103e-44,NA,NA
"ENSG00000207280.1",40943.2371455732,-7.67577956643332,0.6009588978117,3.97785452640569e-47,2.21069265304996e-44,"SNORD20","6082"
"ENSG00000212447.1",17705.1384758439,-7.6008923346428,0.578035731976864,5.75456045727861e-47,3.11166192077765e-44,"SNORD90","692206"
"ENSG00000275043.1",27004.2394289929,-7.5325272900174,0.585637863318292,6.102546400069e-47,3.21299067963633e-44,"SNORD25","9303"
"ENSG00000221514.1",12061.6928979602,-8.08806739047717,0.630564573335818,8.43914102479622e-47,4.32927934572046e-44,NA,NA
"ENSG00000178209.15",510.882418441432,2.57085000010807,0.187419285654182,3.653484144234e-46,1.82738143184224e-43,"PLEC","5339"
"ENSG00000207297.1",18714.1386696436,-9.0146818171265,0.688223129293193,8.77466488420626e-46,4.28182244727597e-43,"SNORD7","692076"
"ENSG00000115306.15",1904.65758873664,1.76217643495087,0.127059114278591,1.63469460255885e-45,7.78698450318927e-43,"SPTBN1","6711"
"ENSG00000136068.14",1155.7953305164,2.03305772109908,0.149027549179448,1.28472711865962e-44,5.97756638674954e-42,"FLNB","2317"
"ENSG00000284419.1",44.213615883029,6.51402715454509,0.507934575181437,1.77585002445398e-44,8.0748707816479e-42,"MIR663A","724033"
"ENSG00000239043.1",2579.68890125239,-7.89610908346963,0.622446520930835,1.97203594700887e-44,8.76767182040146e-42,"SNORD127","100113389"
"ENSG00000011426.10",829.27726978341,2.88549364387502,0.214948537966826,2.07565815500023e-44,8.98984442971348e-42,"ANLN","54443"
"ENSG00000275084.3",12810.0769868762,-7.76975446357227,0.66770555366979,2.11187428498292e-44,8.98984442971348e-42,"SNORD91B","692208"
"ENSG00000277846.1",84704.9029345431,-7.24199191754795,0.570009425972222,6.1747587225692e-44,2.57371662005087e-41,"SNORD30","9299"
"ENSG00000200530.1",194699.440774284,-7.39848601005525,0.622380875686182,1.82015524693634e-43,7.43180531131741e-41,"SNORD35B","84546"
"ENSG00000206630.1",36428.0760120381,-7.37168177437442,0.621676311958842,2.07756141912373e-43,8.31315426248168e-41,"SNORD60","26788"
"ENSG00000202529.1",3467.5895956467,-7.53604846561904,0.603413956424998,4.69474004956065e-43,1.8417189053247e-40,"SNORD18B","595099"
"ENSG00000221066.1",2197.81143767401,-8.09613287169315,0.669909182550353,5.05689256813877e-43,1.94563941559139e-40,"SNORD111","692214"
"ENSG00000200785.1",96320.1357878017,-7.48289568947931,0.622169969692166,6.06673597223443e-43,2.29013559616027e-40,"SNORD8","319103"
"ENSG00000266402.3",3221.43578117717,-7.62774380369074,0.611532264144985,7.67047254305128e-43,2.8419100772005e-40,"SNHG25","105376843"
"ENSG00000143545.8",254.261974445812,2.85755504996175,0.224243457175559,8.23552314266979e-43,2.99578384573445e-40,"RAB13","5872"
"ENSG00000207137.1",43504.6010334215,-7.42519120531053,0.62323738138038,9.01889276914096e-43,3.2221604934322e-40,"SNORD116-13","100033425"
"ENSG00000210117.1",1315.66945841196,-7.27861259107258,0.59791203371266,2.50392435985866e-42,8.78877450310391e-40,NA,NA
"ENSG00000147274.14",23450.1226245508,-5.88247042623164,0.475716095372011,2.99465051581983e-42,1.03299953224151e-39,"RBMX","27316"
"ENSG00000251896.1",94469.615291016,-7.51179328462796,0.651965591982181,3.19735426426366e-42,1.08422825025632e-39,"SNORD116-27","100033439"
"ENSG00000206609.1",104033.20362772,-7.38315297891462,0.62835477516824,4.62996705218688e-42,1.54386251355171e-39,"SNORD116-11","100033423"
"ENSG00000165801.9",2134.54127346457,-5.80430367148446,0.472552955787508,1.22064611663544e-41,4.00351915664348e-39,"ARHGEF40","55701"
"ENSG00000274544.1",27090.9218926339,-6.98611574067256,0.585789274862773,1.48859596513601e-41,4.80360314104455e-39,"SNORD28","9300"
"ENSG00000200879.1",16361.4206953876,-7.03944213472267,0.655676748297182,1.770221564711e-41,5.62171791193222e-39,"SNORD14E","85391"
"ENSG00000222345.1",3669.59319634486,-8.53967046687617,0.65719273101267,1.90993354812028e-41,5.97063132769412e-39,"SNORD19C","109616991"
"ENSG00000206680.1",42034.0785443311,-7.23211421452608,0.629790477932606,4.6708844533296e-41,1.43769823473485e-38,"SNORD21","6083"
"ENSG00000239039.1",84053.1758739614,-7.04971686543344,0.621686414012045,6.22081512520992e-41,1.88575527591022e-38,"SNORD13","692084"
"ENSG00000238622.1",157636.367621452,-7.25880308714421,0.594847404460436,9.81137705127655e-41,2.92979433828194e-38,"SNORD97","692223"
"ENSG00000075624.14",5784.68818955275,2.21597462591501,0.175014922497385,1.04048620051901e-40,3.06132461967408e-38,"ACTB","60"
"ENSG00000271852.1",6152.16892954094,-7.18278283367234,0.571703974623442,1.54770421848914e-40,4.48766931874091e-38,"SNORD11B","100113392"
"ENSG00000238795.1",3701.36101077348,-6.23199286264068,0.504227295976159,2.19150470228286e-40,6.26363351122474e-38,"SCARNA12","677777"
"ENSG00000272296.1",93791.3978114167,-6.95447232503044,0.620556002243162,3.01688033018963e-40,8.50122884029633e-38,"SNORD96A","619571"
"ENSG00000185963.13",173.183076607716,1.55747314505592,0.119398290525695,5.49213125215989e-40,1.52612597169393e-37,"BICD2","23299"
"ENSG00000138668.18",301.358967795688,1.41129244533259,0.108401885683887,5.73409833085648e-40,1.57153568911569e-37,"HNRNPD","3184"
"ENSG00000235284.1",14160.3924309865,-7.11131643833495,0.581840590128047,8.83082276341307e-40,2.38754420307575e-37,"SNORD62A","26786"
"ENSG00000202400.1",2444.58979094026,-7.42485496790071,0.627997197858653,2.70726193864991e-39,7.2218919475425e-37,"SNORD82","25826"
"ENSG00000207047.2",1824.32475019023,-7.71235162495587,0.617089953845134,3.64849455655336e-39,9.60466192012673e-37,"SNORD51","26798"
"ENSG00000265236.1",16092.3487316732,-7.01334111467469,0.579798045943671,3.80430230321645e-39,9.88476314031837e-37,"SNORD84","692199"
"ENSG00000206775.1",9142.5732408487,-7.06399878180987,0.612860618590339,5.03403382847327e-39,1.29122967700339e-36,"SNORD37","26812"
"ENSG00000207279.1",161370.382788246,-7.03166595773657,0.635518503801777,5.1915001224277e-39,1.31476383480267e-36,"SNORD116-24","100033435"
"ENSG00000202503.1",35655.083851329,-6.92002924102003,0.619749208862408,9.40226155787867e-39,2.35138808735598e-36,"SNORD34","26817"
"ENSG00000238300.1",846.503468347825,-7.76500363631968,0.632997113322375,9.58084726568094e-39,2.36646927462319e-36,"SNORD121B","101340252"
"ENSG00000212534.1",1560.74293777644,-7.19112864953473,0.612907856302859,1.10818745005459e-38,2.70384223332222e-36,"SNORD70","692110"
"ENSG00000238886.1",1345.48230104263,-8.69806020389973,0.713103908327488,2.2499946596427e-38,5.42357146451464e-36,"SNORD121A","100113379"
"ENSG00000210194.1",93137.2884816231,-6.76413772856886,0.584323257065358,2.88676253817069e-38,6.87564977395013e-36,NA,NA
"ENSG00000152661.8",796.965451264014,-1.30366816426759,0.102997649087838,4.67966387371398e-38,1.10148276613407e-35,"GJA1","2697"
"ENSG00000254341.2",86114.8224604761,-7.59211137549863,0.688057763646468,6.38609223361818e-38,1.48565752695348e-35,"SNORD87","641648"
"ENSG00000199436.1",7771.64722129196,-6.98692245933542,0.602792227330601,7.75751287773923e-38,1.78396046143596e-35,"SNORD9","692053"
"ENSG00000092820.17",1856.29524398457,2.7574326801386,0.228807679895285,9.57794992014943e-38,2.17756868241397e-35,"EZR","7430"
"ENSG00000283551.1",3804.0534357745,-7.31204036711498,0.590645123774657,2.20645084376123e-37,4.96005191361021e-35,"SNORD98","692211"
"ENSG00000201882.1",2151.28695177734,-7.34644804976073,0.623768503998998,2.50251296450972e-37,5.56308632010512e-35,NA,NA
"ENSG00000255717.6",78368.1325852734,-6.08984878639881,0.531181354952037,3.37339320966019e-37,7.41664592809576e-35,"SNHG1","23642"
"ENSG00000209082.1",4977.60654978699,-6.90012281128134,0.628008276864461,6.58023316636307e-37,1.43098614086332e-34,NA,NA
"ENSG00000207197.1",20288.9780118958,-7.08312514008553,0.614609612245102,7.75412716861603e-37,1.66813787379033e-34,"SNORD116-12","100033424"
"ENSG00000210151.2",4770.06876659244,-6.69570100282732,0.588852342755989,1.57764319096444e-36,3.35786248102399e-34,"MIR12136","113219467"
"ENSG00000280496.1",123143.73047207,-6.91483048796895,0.582331328557483,2.11865678933396e-36,4.46189119833732e-34,"SNORA17B","677824"
"ENSG00000275996.1",90045.5489970068,-6.66293452829759,0.585228360297857,3.36821181660305e-36,7.01956393903929e-34,"SNORD27","9301"
"ENSG00000238917.1",97354.0609914873,-6.6940669926517,0.596468550926511,2.00871295753396e-35,4.14312578777133e-33,"SNORD10","652966"
"ENSG00000235408.5",6910.38135379343,-5.33706342845267,0.452220554398207,2.09497585544696e-35,4.27695734080891e-33,"SNORA71B","26776"
"ENSG00000199574.1",3464.99861086305,-9.19048879154326,0.789277905218527,2.87506999850126e-35,5.81025509697118e-33,"SNORD18C","595100"
"ENSG00000222937.1",814.168553152045,-8.81006819281228,0.754417767477671,2.98530944393448e-35,5.97270860447971e-33,"SNORD63B","109617013"
